season,pond,InitialP,InitialCl,sediment_mass,srp,srp_flag,nh4_api,chloride,sulfate
spring,orchid,150,50,0.2641,79.982,remove,,,
spring,orchid,300,50,0.4611,111.529,,270.67,,
spring,orchid,0,100,0.2073,40.012,,115.96,98.82,1.88
spring,orchid,25,100,0.1755,42.123,,,,
spring,orchid,50,100,0.2096,44.224,,178.57,,
spring,orchid,75,100,0.1144,79.982,remove,,,
spring,orchid,150,100,0.278,88.387,,,,
spring,orchid,300,100,0.1704,180.935,,96.02,,
spring,orchid,0,500,0.2062,37.911,,222.56,512.86,3.23
spring,orchid,25,500,0.1965,61.052,,,,
spring,orchid,50,500,0.3122,52.638,,330.23,,
spring,orchid,75,500,0.2558,54.739,,,,
spring,orchid,150,500,0.213,82.083,remove,,,
spring,orchid,300,500,0.457,75.77,,75.6,,
winter,orchid,0,0,0.3925,32.837,,298.774,1.44,1.52
winter,orchid,25,0,0.2849,27.1,,,,
winter,orchid,50,0,0.381,27.1,,278.768,,
winter,orchid,75,0,0.4491,48.135,,,,
winter,orchid,150,0,0.3971,74.908,,,,
winter,orchid,300,0,0.4676,88.294,,295.291,,
winter,orchid,0,50,0.5538,27.1,,571.564,53.3,3.39
winter,orchid,25,50,0.2919,30.924,,,,
winter,orchid,50,50,0.3425,46.223,,348.515,,
winter,orchid,75,50,0.2455,55.784,,,,
winter,orchid,150,50,0.2179,101.68,,,,
winter,orchid,300,50,0.2633,159.05,,329.822,,
winter,orchid,0,100,0.3162,55.784,,210.778,102.33,2.97
winter,orchid,25,100,0.3265,34.749,,,,
winter,orchid,50,100,0.3327,53.872,,216.087,,
winter,orchid,75,100,0.4006,44.311,,,,
winter,orchid,150,100,0.3266,78.732,,,,
winter,orchid,300,100,0.3075,82.557,,229.012,,
winter,orchid,0,500,0.2431,50.048,,266.302,,
winter,orchid,25,500,0.2933,38.574,,,,
winter,orchid,50,500,0.2759,32.837,,251.969,,
winter,orchid,75,500,0.5034,17.538,,,,
winter,orchid,150,500,0.4245,36.661,,,,
winter,orchid,300,500,0.358,57.697,,287.326,,
fall,strickers,0,0,0.037,10.29,,,,
fall,strickers,20,0,0.0369,12.89,,,,
fall,strickers,40,0,0.0207,20.66,,,,
fall,strickers,80,0,0.0322,25.85,,,,
fall,strickers,160,0,0.0262,33.62,remove,,,
fall,strickers,320,0,0.0325,93.24,,,,
fall,strickers,0,50,0.0222,10.29,,,,
fall,strickers,20,50,0.0208,10.29,,,,
fall,strickers,40,50,0.031,12.89,,,,
fall,strickers,80,50,0.0235,18.07,,,,
fall,strickers,160,50,0.0209,49.17,,,,
fall,strickers,0,100,0.0172,10.29,,,,
fall,strickers,20,100,0.0176,12.89,,,,
fall,strickers,40,100,0.0194,18.07,,,,
fall,strickers,80,100,0.0293,18.07,,,,
fall,strickers,160,100,0.0147,90.65,,,,
fall,strickers,0,500,0.0275,18.07,,,,
fall,strickers,20,500,0.0225,15.48,,,,
fall,strickers,40,500,0.0278,20.66,,,,
fall,strickers,80,500,0.0231,23.25,remove,,,
fall,strickers,160,500,0.0302,43.99,,,,
spring,strickers,0,0,0.0677,9.16,,113.04,3.12,1.97
spring,strickers,25,0,0.0449,3.09,,,,
spring,strickers,50,0,0.056,5.11,,113.93,,
spring,strickers,75,0,0.0561,9.16,,,,
spring,strickers,150,0,0.0493,19.28,,,,
spring,strickers,300,0,0.0517,39.51,,85.27,,
spring,strickers,0,50,0.0428,3.48,,66.93,50.65,1.7
spring,strickers,25,50,0.047,13.21,,,,
spring,strickers,50,50,0.0662,5.11,,145.25,,
spring,strickers,75,50,0.0253,13.21,remove,,,
spring,strickers,150,50,0.0537,11.19,,,,
spring,strickers,300,50,0.0496,41.54,,89.43,,
spring,strickers,0,100,0.04,1.07,,52.78,102.03,1.83
spring,strickers,25,100,0.0614,7.14,,,,
spring,strickers,50,100,0.0969,7.14,,,,
spring,strickers,75,100,0.0382,13.21,,,,
spring,strickers,150,100,0.0485,17.26,,,,
spring,strickers,300,100,0.0547,21.3,,145.11,,
spring,strickers,0,500,0.0461,9.16,,127.7,502.65,3.65
spring,strickers,25,500,0.0886,5.11,,,,
spring,strickers,50,500,0.0551,7.14,,158.86,,
spring,strickers,75,500,0.0773,7.14,,,,
spring,strickers,150,500,0.0648,15.23,,,,
spring,strickers,300,500,0.049,19.28,,126.03,,
winter,strickers,0,0,0.0836,4.36,,61.705,2.69,1.96
winter,strickers,25,0,0.0382,7.3,,,,
winter,strickers,50,0,0.0707,7.73,,39.547,,
winter,strickers,75,0,0.0621,9.17,,,,
winter,strickers,150,0,0.0641,11.53,,,,
winter,strickers,300,0,0.0586,36.21,,49.674,,
winter,strickers,0,50,0.0744,4.12,,44.749,53.19,2.1
winter,strickers,25,50,0.0724,6.89,,,,
winter,strickers,50,50,0.0645,7.73,,39.635,,
winter,strickers,75,50,0.0826,7.73,,,,
winter,strickers,150,50,0.0506,12.21,,,,
winter,strickers,300,50,0.0817,90.46,remove,75.088,,
winter,strickers,0,100,0.045,5.8,,39.451,103.23,1.55
winter,strickers,25,100,0.0692,8.18,,,,
winter,strickers,50,100,0.0656,8.66,,61.274,,
winter,strickers,75,100,0.0498,10.89,,,,
winter,strickers,150,100,0.0716,16.26,,,,
winter,strickers,300,100,0.0574,107.39,remove,53.047,,
winter,strickers,0,500,0.0613,9.71,,55.46,508.31,1.64
winter,strickers,25,500,0.1759,8.66,,,,
winter,strickers,50,500,0.0642,8.66,,56.446,,
winter,strickers,75,500,0.0486,9.17,,,,
winter,strickers,150,500,0.0519,28.81,,,,
winter,strickers,300,500,0.0784,67.95,remove,79.777,,
spring,tiedemans,0,0,0.1485,1.12,,64.73,4.66,2.83
spring,tiedemans,25,0,0.1292,1.55,,,,
spring,tiedemans,50,0,0.2192,1.55,,136.83,,
spring,tiedemans,75,0,0.1499,2.11,,,,
spring,tiedemans,150,0,0.1245,1.55,,,,
spring,tiedemans,300,0,0.08,48.16,remove,32.07,,
spring,tiedemans,0,100,0.1373,0.81,,146.04,103.28,3.2
spring,tiedemans,50,100,0.1779,3.31,,225.67,,
spring,tiedemans,300,100,0.1823,3.8,,253.09,,
spring,tiedemans,50,500,0.1537,0.25,,289.84,,
spring,tiedemans,300,500,0.1266,0.64,,130.81,,
winter,tiedemans,0,0,0.3868,15.8,,134.649,1.16,1.22
winter,tiedemans,25,0,0.192,28.84,,,,
winter,tiedemans,50,0,0.1646,39.23,,,,
winter,tiedemans,75,0,0.322,64.7,,,,
winter,tiedemans,150,0,0.4144,107.08,,,,
winter,tiedemans,300,0,0.4253,209.184,,137.777,,
winter,tiedemans,0,50,0.2182,24.78,,92.031,49.58,1.19
winter,tiedemans,25,50,0.2441,36.02,,,,
winter,tiedemans,50,50,0.2754,44.05,,92.92,,
winter,tiedemans,75,50,0.4129,32.81,,,,
winter,tiedemans,150,50,0.3486,66.53,,,,
winter,tiedemans,300,50,0.6428,117.92,,206.499,,
winter,tiedemans,0,100,0.3555,26.951,,120.86,99.85,1.42
winter,tiedemans,25,100,0.5951,29.6,,,,
winter,tiedemans,50,100,0.4756,32.957,,149.823,,
winter,tiedemans,150,100,0.3858,95.44,,,,
winter,tiedemans,300,100,0.3457,191.78,,109.487,,
winter,tiedemans,0,500,0.3495,27.99,,127.757,506.22,1.19
winter,tiedemans,25,500,0.4795,31.2,,,,
winter,tiedemans,50,500,0.2535,34.8,,205.841,,
winter,tiedemans,75,500,0.909,19.96,,,,
winter,tiedemans,150,500,0.3646,55.29,,,,
winter,tiedemans,300,500,0.2964,95.44,,349.779,,
fall,wingra shallow,0,0,0.0536,10.29,,,,
fall,wingra shallow,20,0,0.078,12.89,,,,
fall,wingra shallow,40,0,0.0753,15.48,,,,
fall,wingra shallow,80,0,0.0604,46.58,,,,
fall,wingra shallow,160,0,0.06716,85.46,,,,
fall,wingra shallow,0,50,0.0784,15.48,,,,
fall,wingra shallow,20,50,0.0871,15.48,,,,
fall,wingra shallow,40,50,0.0807,23.25,,,,
fall,wingra shallow,80,50,0.0546,51.77,,,,
fall,wingra shallow,160,50,0.0633,64.73,remove,,,
fall,wingra shallow,320,50,0.0808,119.16,,,,
fall,wingra shallow,0,100,0.0468,15.48,,,,
fall,wingra shallow,20,100,0.0585,20.66,,,,
fall,wingra shallow,40,100,0.0389,25.85,,,,
fall,wingra shallow,80,100,0.0709,49.17,,,,
fall,wingra shallow,160,100,0.0545,119.16,,,,
fall,wingra shallow,0,500,0.0665,25.85,,,,
fall,wingra shallow,20,500,0.0657,38.81,,,,
fall,wingra shallow,40,500,0.0675,46.58,,,,
fall,wingra shallow,80,500,0.0755,77.69,,,,
fall,wingra shallow,160,500,0.0629,155.45,remove,,,
fall,wingra shallow,320,500,0.0823,290.23,remove,,,
spring,wingra shallow,0,0,0.1261,18.79,,35.63,4.41,2.93
spring,wingra shallow,25,0,0.1262,22.81,,,,
spring,wingra shallow,50,0,0.1038,40.92,,45.58,,
spring,wingra shallow,75,0,0.122,61.04,,,,
spring,wingra shallow,150,0,0.0896,111.36,,,,
spring,wingra shallow,300,0,0.1659,218.03,,111.3,,
spring,wingra shallow,0,50,0.1478,22.81,,114.06,53.63,3
spring,wingra shallow,25,50,0.1497,34.88,,,,
spring,wingra shallow,50,50,0.1225,36.9,,21.75,,
spring,wingra shallow,75,50,0.1893,59.03,,,,
spring,wingra shallow,150,50,0.121,115.38,,,,
spring,wingra shallow,300,50,0.1073,207.96,,51.74,,
spring,wingra shallow,0,100,0.1691,26.83,,127.07,103.01,3.42
spring,wingra shallow,25,100,0.1707,38.91,,,,
spring,wingra shallow,50,100,0.139,67.09,,118.96,,
spring,wingra shallow,75,100,0.1832,73.13,,,,
spring,wingra shallow,150,100,0.1317,115.38,,,,
spring,wingra shallow,300,100,0.1233,220.04,,96.4,,
spring,wingra shallow,0,500,0.2151,34.88,,178.69,503.94,4.96
spring,wingra shallow,25,500,0.1221,42.93,,,,
spring,wingra shallow,50,500,0.1835,59.03,,164.68,,
spring,wingra shallow,75,500,0.1077,77.15,,,,
spring,wingra shallow,150,500,0.1887,113.37,,,,
spring,wingra shallow,300,500,0.1206,230.11,,121.66,,
fall,wingra deep,0,0,0.0701,18.07,,,,
fall,wingra deep,20,0,0.0998,18.07,,,,
fall,wingra deep,40,0,0.0774,33.62,,,,
fall,wingra deep,80,0,0.1049,43.99,,,,
fall,wingra deep,160,0,0.0934,101.01,,,,
fall,wingra deep,320,0,0.096,243.57,remove,,,
fall,wingra deep,0,50,0.1188,15.48,,,,
fall,wingra deep,20,50,0.1512,25.85,,,,
fall,wingra deep,40,50,0.0696,38.81,,,,
fall,wingra deep,80,50,0.0971,56.95,,,,
fall,wingra deep,160,50,0.0794,124.34,,,,
fall,wingra deep,320,50,0.0846,253.94,remove,,,
fall,wingra deep,0,100,0.0832,18.07,,,,
fall,wingra deep,20,100,0.0514,25.85,,,,
fall,wingra deep,40,100,0.0672,33.62,,,,
fall,wingra deep,80,100,0.1068,51.77,,,,
fall,wingra deep,160,100,0.0944,121.75,,,,
fall,wingra deep,320,100,0.0649,295.41,remove,,,
fall,wingra deep,0,500,0.0724,23.25,,,,
fall,wingra deep,20,500,0.082,28.44,,,,
fall,wingra deep,40,500,0.0926,41.4,,,,
fall,wingra deep,80,500,0.0593,75.09,,,,
fall,wingra deep,160,500,0.0845,145.08,,,,
fall,wingra deep,320,500,0.0669,305.78,remove,,,
spring,wingra deep,0,0,0.2343,7.81,,0.42,8.32,1.7521
spring,wingra deep,25,0,0.1128,,,,,
spring,wingra deep,50,0,0.2975,8.75,,,,
spring,wingra deep,75,0,0.1613,19.07,,,,
spring,wingra deep,150,0,0.2248,21.09,,,,
spring,wingra deep,300,0,0.1438,140.35,,3.11,,
spring,wingra deep,0,50,0.2429,10.97,,7.7,55.02,1.5791
spring,wingra deep,25,50,0.1418,8.94,,,,
spring,wingra deep,50,50,0.1236,10.97,remove,,,
spring,wingra deep,75,50,0.1537,25.15,remove,,,
spring,wingra deep,150,50,0.2264,47.42,,,,
spring,wingra deep,300,50,0.2,106.15,,9.95,,
spring,wingra deep,0,100,0.1516,7.32,,4.87,129.5,1.5137
spring,wingra deep,25,100,0.1267,6.92,,,,
spring,wingra deep,50,100,0.1296,17.05,,10.03,,
spring,wingra deep,75,100,0.1551,15.01,,,,
spring,wingra deep,150,100,0.2705,31.22,remove,,,
spring,wingra deep,300,100,0.2612,104.13,remove,59.98,,
spring,wingra deep,0,500,0.1706,10.97,,8.53,519.49,3.92
spring,wingra deep,25,500,0.2949,-1.18,,,,
spring,wingra deep,50,500,0.1756,21.09,,,,
spring,wingra deep,75,500,0.2921,27.17,,,,
spring,wingra deep,150,500,0.1874,55.52,,,,
spring,wingra deep,300,500,0.1236,189.19,,17.92,,
winter,wingra deep,0,0,0.0877,7.35,,,,
winter,wingra deep,25,0,0.0737,25.64,,,,
winter,wingra deep,50,0,0.1351,38.7,,,,
winter,wingra deep,75,0,0.0757,67.44,,,,
winter,wingra deep,150,0,0.0592,140.58,,,,
winter,wingra deep,300,0,0.0985,242.46,,,,
winter,wingra deep,0,50,0.0575,7.35,,,,
winter,wingra deep,25,50,0.0899,15.19,,,,
winter,wingra deep,50,50,0.08,33.48,remove,,,
winter,wingra deep,75,50,0.0813,62.21,,,,
winter,wingra deep,150,50,0.062,130.13,,,,
winter,wingra deep,300,50,0.0834,258.14,remove,,,
winter,wingra deep,0,100,0.0587,7.35,,,,
winter,wingra deep,25,100,0.0451,25.64,,,,
winter,wingra deep,50,100,0.0793,49.15,,,,
winter,wingra deep,75,100,0.0575,67.44,,,,
winter,wingra deep,150,100,0.0617,124.91,,,,
winter,wingra deep,300,100,0.0418,271.2,,,,
winter,wingra deep,0,500,0.0717,7.35,,,,
winter,wingra deep,25,500,0.0781,25.64,,,,
winter,wingra deep,50,500,0.0757,43.93,,,,
winter,wingra deep,75,500,0.0885,64.83,,,,
winter,wingra deep,150,500,0.0479,130.13,remove,,,
winter,wingra deep,300,500,0.0574,273.81,,,,
